"","cow","year","milex","version"
"182","USA",1997,276324000,2011
"183","USA",1998,279702000,2011
"184","USA",1999,292147000,2011
"185","USA",2000,303136000,2011
"186","USA",2001,322365000,2011
"187","USA",2002,348555000,2011
"188","USA",2003,404920000,2011
"189","USA",2004,455908000,2011
"190","USA",2005,495326000,2011
"191","USA",2006,521840000,2011
"192","USA",2007,552568000,2011
"193","USA",2008,616073000,2011
"194","USA",2009,662049000,2011
"195","USA",2010,693600000,2011
"196","USA",2011,687000000,2011
"197","USA",2012,655388000,2011
"198","CAN",1920,10755,2011
"199","CAN",1921,10209,2011
"200","CAN",1922,10028,2011
"201","CAN",1923,13316,2011
"202","CAN",1924,12824,2011
"203","CAN",1925,12984,2011
"204","CAN",1926,13936,2011
"205","CAN",1927,16745,2011
"206","CAN",1928,18862,2011
"207","CAN",1929,21058,2011
"208","CAN",1930,22649,2011
"209","CAN",1931,18263,2011
"210","CAN",1932,11999,2011
"211","CAN",1933,17149,2011
"212","CAN",1934,12943,2011
"213","CAN",1935,24921,2011
"214","CAN",1936,24762,2011
"215","CAN",1937,32419,2011
"216","CAN",1938,35282,2011
"217","CAN",1939,125700,2011
"218","CAN",1940,730100,2011
"219","CAN",1941,1038380,2011
"220","CAN",1942,2321324,2011
"221","CAN",1943,3841192,2011
"222","CAN",1944,3622309,2011
"223","CAN",1945,2664365,2011
"224","CAN",1946,1552759,2011
"225","CAN",1947,385771,2011
"226","CAN",1948,195025,2011
"227","CAN",1949,370149,2011
"228","CAN",1950,447964,2011
"229","CAN",1951,1150942,2011
"230","CAN",1952,1843656,2011
"231","CAN",1953,2028835,2011
"232","CAN",1954,1818274,2011
"233","CAN",1955,1883021,2011
"234","CAN",1956,1889889,2011
"235","CAN",1957,1905207,2011
"236","CAN",1958,1766497,2011
"237","CAN",1959,1703318,2011
"238","CAN",1960,1735570,2011
"239","CAN",1961,1722891,2011
"240","CAN",1962,1735210,2011
"241","CAN",1963,1588421,2011
"242","CAN",1964,1677304,2011
